Angiogenesis	Apoptosis	Cell_Cycle	Differentiation	DNA_damage	DNA_repair	EMT	Hypoxia	Inflammation	Invasion	Metastasis	Proliferation	Quiescence	Stemness
NA	NA	CHAF1A	SOX4	NA	NA	NA	NA	NA	NA	PLAUR	NA	NA	PTPRS
NA	NA	PBK	SOX10	NA	NA	NA	NA	NA	NA	POSTN	NA	NA	PTPRZ1
NA	NA	DTYMK	SOX11	NA	NA	NA	NA	NA	NA	PRKCI	NA	NA	QPCTL
NA	NA	APEX2	SP3	NA	NA	NA	NA	NA	NA	PROM1	NA	NA	RAB42
NA	NA	KIF5B	SPI1	NA	NA	NA	NA	NA	NA	PSCA	NA	NA	RAMP2-AS1
NA	NA	SHCBP1	SRF	NA	NA	NA	NA	NA	NA	PTGS2	NA	NA	RBM6
NA	NA	ZWILCH	STAT5B	NA	NA	NA	NA	NA	NA	PTHLH	NA	NA	RGMB
NA	NA	KPNA2	STK11	NA	NA	NA	NA	NA	NA	PTK2	NA	NA	RNF43
NA	NA	H2AFX	SYK	NA	NA	NA	NA	NA	NA	PTP4A3	NA	NA	RUNX1
NA	NA	H1F0	TAL1	NA	NA	NA	NA	NA	NA	PTTG1	NA	NA	SET
NA	NA	TUBB	TGFB2	NA	NA	NA	NA	NA	NA	PXN	NA	NA	SLC12A2
NA	NA	HIST1H4C	TGFBR2	NA	NA	NA	NA	NA	NA	RAB25	NA	NA	SMAD2
NA	NA	PRC1	THRA	NA	NA	NA	NA	NA	NA	RAC1	NA	NA	SMOC2
NA	NA	CENPW	NKX2-1	NA	NA	NA	NA	NA	NA	RELA	NA	NA	SOX1
NA	NA	MRPS18B	TRAF6	NA	NA	NA	NA	NA	NA	RHOC	NA	NA	SOX11
NA	NA	MZT1	TSC1	NA	NA	NA	NA	NA	NA	ROCK1	NA	NA	SOX17
NA	NA	KIFC1	VEGFA	NA	NA	NA	NA	NA	NA	S100A4	NA	NA	SOX2
NA	NA	KIF22	WNT7A	NA	NA	NA	NA	NA	NA	SATB1	NA	NA	SOX3
NA	NA	NA	WNT8A	NA	NA	NA	NA	NA	NA	SDCBP	NA	NA	SOX4
NA	NA	NA	WNT11	NA	NA	NA	NA	NA	NA	SELE	NA	NA	SOX9
NA	NA	NA	WT1	NA	NA	NA	NA	NA	NA	SELP	NA	NA	SPDYE1
NA	NA	NA	ZAP70	NA	NA	NA	NA	NA	NA	SLC2A1	NA	NA	SPDYE5
NA	NA	NA	EOMES	NA	NA	NA	NA	NA	NA	SNAI1	NA	NA	SPHKAP
NA	NA	NA	SEMA7A	NA	NA	NA	NA	NA	NA	SNAI2	NA	NA	SRGAP2C
NA	NA	NA	TNFSF11	NA	NA	NA	NA	NA	NA	SNCG	NA	NA	STMN1
NA	NA	NA	TP63	NA	NA	NA	NA	NA	NA	SOX4	NA	NA	STMN2
NA	NA	NA	TNFSF9	NA	NA	NA	NA	NA	NA	SPARC	NA	NA	TAL1
NA	NA	NA	FADD	NA	NA	NA	NA	NA	NA	SPP1	NA	NA	TATDN3
NA	NA	NA	NRP1	NA	NA	NA	NA	NA	NA	SRC	NA	NA	TCF12
NA	NA	NA	PROM1	NA	NA	NA	NA	NA	NA	STAT3	NA	NA	TCF4
NA	NA	NA	SLC9A3R1	NA	NA	NA	NA	NA	NA	STMN1	NA	NA	TDGF1
NA	NA	NA	ATG5	NA	NA	NA	NA	NA	NA	TERT	NA	NA	TFDP2
NA	NA	NA	SLC4A7	NA	NA	NA	NA	NA	NA	TGFBI	NA	NA	TFRC
